epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.52391,1.27292,5.81295,4.35215,1.63165,0.49238,0.66667,0.33883,0.12531,0.49238,0.66667,0.33436,0.10456,1.92123,2.3235,3.92573,2.36255,0.09604,4e-05,4e-05
2,2.11115,1.58376,6.5843,4.28243,1.85082,0.63342,0.66667,0.44901,0.12025,0.47392,0.5,0.27519,0.07877,1.98999,2.45044,3.37008,2.43182,0.0910896,8.95545e-05,8.95545e-05
3,2.65506,1.50217,5.85272,4.61341,1.76979,0.54354,0.66667,0.38348,0.13761,0.54354,0.66667,0.38348,0.11092,1.97789,2.45429,3.15811,2.35868,0.0861386,0.000138614,0.000138614
4,3.2928,1.01791,2.38902,4.15578,1.40244,0.31112,0.66667,0.3051,0.19455,0.46532,1,0.56172,0.25371,0.71947,4.77589,11.387,1.32686,0.0811872,0.000187178,0.000187178
5,3.98668,0.73257,1.37361,2.0198,1.08602,0.42837,0.66667,0.30537,0.1998,0.42837,0.66667,0.29627,0.19122,1.02493,10.8467,4.78224,1.58326,0.0762352,0.000235248,0.000235248
6,4.63864,0.71488,1.77862,1.67807,1.06546,0.49342,1,0.84333,0.49517,0.32991,0.66667,0.44371,0.20422,0.61483,18.4327,7.09156,1.16023,0.0712828,0.000282823,0.000282823
7,5.34633,0.62938,1.22245,1.08558,0.95494,0.48646,0.83333,0.77752,0.41117,0.38645,0.66667,0.41157,0.24495,0.50508,27.437,6.13466,1.10331,0.0663299,0.000329902,0.000329902
8,5.99215,0.72816,1.49373,1.10125,1.0596,0.48646,0.83333,0.77752,0.41117,0.38645,0.66667,0.41157,0.24495,0.50508,27.437,6.13466,1.10331,0.0613765,0.000376486,0.000376486
9,6.64764,0.54447,0.72449,0.80793,0.94259,1,0.63607,0.68172,0.65602,1,0.63607,0.66683,0.57394,0.61735,10.225,3.74364,1.15273,0.0564226,0.000422576,0.000422576
10,7.353,0.66426,1.44917,0.89863,0.9971,1,0.5,0.66185,0.55942,1,0.5,0.62813,0.35464,0.7282,4.19432,4.33387,1.21345,0.0514682,0.00046817,0.00046817
11,7.99085,0.56203,0.82743,1.04922,0.99283,1,0.5,0.66185,0.55942,1,0.5,0.62813,0.35464,0.7282,4.19432,4.33387,1.21345,0.0465133,0.00051327,0.00051327
12,8.65859,0.60504,0.8265,0.8803,0.93564,0.45872,0.83333,0.71099,0.33739,0.45872,0.83333,0.63737,0.25626,1.07046,3.6297,10.4829,1.60602,0.0415579,0.000557874,0.000557874
13,9.29918,0.83026,1.45039,1.00962,1.0772,0.45872,0.83333,0.71099,0.33739,0.45872,0.83333,0.63737,0.25626,1.07046,3.6297,10.4829,1.60602,0.036602,0.000601984,0.000601984
14,9.94826,0.90657,1.19643,1.67116,1.23185,0.45872,0.83333,0.71099,0.33739,0.45872,0.83333,0.63737,0.25626,1.07046,3.6297,10.4829,1.60602,0.0316456,0.000645599,0.000645599
15,10.5971,0.64906,0.69461,1.31635,1.02583,0.7865,1,0.85286,0.64045,0.7865,1,0.85286,0.50684,0.79289,2.48327,1.56206,1.19722,0.0266887,0.000688718,0.000688718
16,11.2542,0.7316,0.87333,1.69355,1.07693,0.7865,1,0.85286,0.64045,0.7865,1,0.85286,0.50684,0.79289,2.48327,1.56206,1.19722,0.0217313,0.000731343,0.000731343
17,11.9009,0.66716,0.563,1.55682,1.00081,0.7865,1,0.85286,0.64045,0.7865,1,0.85286,0.50684,0.79289,2.48327,1.56206,1.19722,0.0167735,0.000773472,0.000773472
18,12.5548,0.62748,1.39946,1.21088,1.09745,0.91783,1,0.995,0.85294,0.91783,1,0.995,0.84352,0.81787,0.92758,1.3135,1.21084,0.0118151,0.000815107,0.000815107
19,13.2377,0.59371,0.99168,0.83553,0.97042,0.91783,1,0.995,0.85294,0.91783,1,0.995,0.84352,0.81787,0.92758,1.3135,1.21084,0.00685625,0.000856246,0.000856246
20,13.9282,0.74924,1.53528,0.90105,1.04896,0.91783,1,0.995,0.85294,0.91783,1,0.995,0.84352,0.81787,0.92758,1.3135,1.21084,0.00189689,0.000896891,0.000896891
21,14.6331,0.70597,1.22502,0.88092,1.00982,0.98327,1,0.995,0.58595,0.98327,1,0.995,0.59549,1.1503,1.50237,1.32293,1.73536,0.000901,0.000901,0.000901
22,15.3097,0.57563,0.81777,0.83001,0.97624,0.98327,1,0.995,0.58595,0.98327,1,0.995,0.59549,1.1503,1.50237,1.32293,1.73536,0.00089605,0.00089605,0.00089605
23,15.9531,0.6761,1.63083,0.81868,0.98401,0.98327,1,0.995,0.58595,0.98327,1,0.995,0.59549,1.1503,1.50237,1.32293,1.73536,0.0008911,0.0008911,0.0008911
24,16.6171,0.66007,1.17638,0.88366,1.05897,0.85556,1,0.92357,0.45726,0.85556,1,0.92357,0.47732,1.39963,2.1117,1.13062,2.45178,0.00088615,0.00088615,0.00088615
25,17.264,0.65325,0.55478,0.91855,0.98791,0.85556,1,0.92357,0.45726,0.85556,1,0.92357,0.47732,1.39963,2.1117,1.13062,2.45178,0.0008812,0.0008812,0.0008812
26,18.1172,0.70276,0.98331,0.98163,1.05931,0.85556,1,0.92357,0.45726,0.85556,1,0.92357,0.47732,1.39963,2.1117,1.13062,2.45178,0.00087625,0.00087625,0.00087625
27,18.7653,0.64833,1.3212,0.96755,1.05877,0.66397,1,0.94167,0.68498,0.66397,1,0.94167,0.70295,1.1667,2.00177,1.47196,1.99942,0.0008713,0.0008713,0.0008713
28,19.4062,0.69185,0.88404,0.85688,1.02815,0.66397,1,0.94167,0.68498,0.66397,1,0.94167,0.70295,1.1667,2.00177,1.47196,1.99942,0.00086635,0.00086635,0.00086635
29,20.0389,0.73559,1.1126,1.12985,1.10545,0.66397,1,0.94167,0.68498,0.66397,1,0.94167,0.70295,1.1667,2.00177,1.47196,1.99942,0.0008614,0.0008614,0.0008614
30,20.685,0.70401,0.99247,1.03164,1.19929,0.82797,0.83333,0.91333,0.64357,0.85271,0.96899,0.97214,0.72414,1.17252,1.11747,1.03923,2.17614,0.00085645,0.00085645,0.00085645
31,21.3169,0.62392,0.60995,0.85537,0.99826,0.82797,0.83333,0.91333,0.64357,0.85271,0.96899,0.97214,0.72414,1.17252,1.11747,1.03923,2.17614,0.0008515,0.0008515,0.0008515
32,21.9785,0.57388,1.03752,0.82328,1.012,0.82797,0.83333,0.91333,0.64357,0.85271,0.96899,0.97214,0.72414,1.17252,1.11747,1.03923,2.17614,0.00084655,0.00084655,0.00084655
33,22.6252,0.70164,1.23296,0.84748,0.99781,0.82797,0.83333,0.91333,0.64357,0.85271,0.96899,0.97214,0.72414,1.17252,1.11747,1.03923,2.17614,0.0008416,0.0008416,0.0008416
34,23.2825,0.73907,0.92251,0.9348,1.06154,0.74523,0.97773,0.9125,0.64717,0.74523,0.97773,0.9125,0.61391,1.0024,2.34495,1.33495,1.66048,0.00083665,0.00083665,0.00083665
35,23.9207,0.68602,1.06521,0.79371,1.05794,0.74523,0.97773,0.9125,0.64717,0.74523,0.97773,0.9125,0.61391,1.0024,2.34495,1.33495,1.66048,0.0008317,0.0008317,0.0008317
36,24.563,0.62729,0.78115,0.80035,0.94016,0.74523,0.97773,0.9125,0.64717,0.74523,0.97773,0.9125,0.61391,1.0024,2.34495,1.33495,1.66048,0.00082675,0.00082675,0.00082675
37,25.2151,0.6151,0.95677,0.77965,0.96927,0.967,0.66667,0.8931,0.67554,0.85601,0.99209,0.94786,0.61598,1.03996,3.03505,0.76931,1.844,0.0008218,0.0008218,0.0008218
38,25.8496,0.58964,1.07435,0.70323,0.97725,0.967,0.66667,0.8931,0.67554,0.85601,0.99209,0.94786,0.61598,1.03996,3.03505,0.76931,1.844,0.00081685,0.00081685,0.00081685
